customer_id,decision,decision_reason,underwriting_income_p10,median_income_p50,optimistic_income_p90,existing_monthly_obligations,current_foir_percent,projected_foir_percent,max_affordable_emi,approved_term_loan_limit,approved_revolving_card_limit,applied_interest_rate_annual
CUST0000004,DECLINED,INSAGFFICIENT_NET_DISPOSABLE_INCOME,3.8267462858951e-07,4.701210519579216e-06,0.008046414676757957,0.0,0.0,0.0,0.0,0.0,0.0,24%
CUST0000022,DECLINED,INSAGFFICIENT_NET_DISPOSABLE_INCOME,3.8267462858951e-07,4.701210519579216e-06,0.008046414676757957,0.0,0.0,0.0,0.0,0.0,0.0,24%
CUST0000115,DECLINED,INSAGFFICIENT_NET_DISPOSABLE_INCOME,3.8267462858951e-07,4.701210519579216e-06,0.008046414676757957,0.0,0.0,0.0,0.0,0.0,0.0,24%
CUST0000128,DECLINED,INSAGFFICIENT_NET_DISPOSABLE_INCOME,3.8267462858951e-07,4.701210519579216e-06,0.008046414676757957,0.0,0.0,0.0,0.0,0.0,0.0,24%
CUST0000150,DECLINED,INSAGFFICIENT_NET_DISPOSABLE_INCOME,3.8267462858951e-07,4.701210519579216e-06,0.008046414676757957,0.0,0.0,0.0,0.0,0.0,0.0,24%
CUST0000203,DECLINED,INSAGFFICIENT_NET_DISPOSABLE_INCOME,3.8267462858951e-07,4.701210519579216e-06,0.008046414676757957,0.0,0.0,0.0,0.0,0.0,0.0,24%
CUST0000227,DECLINED,INSAGFFICIENT_NET_DISPOSABLE_INCOME,3.8267462858951e-07,4.701210519579216e-06,0.008046414676757957,0.0,0.0,0.0,0.0,0.0,0.0,24%
CUST0000232,DECLINED,INSAGFFICIENT_NET_DISPOSABLE_INCOME,3.8267462858951e-07,4.701210519579216e-06,0.008046414676757957,0.0,0.0,0.0,0.0,0.0,0.0,24%
CUST0000311,DECLINED,INSAGFFICIENT_NET_DISPOSABLE_INCOME,3.8267462858951e-07,4.701210519579216e-06,0.008046414676757957,0.0,0.0,0.0,0.0,0.0,0.0,24%
CUST0000502,DECLINED,INSAGFFICIENT_NET_DISPOSABLE_INCOME,3.8267462858951e-07,4.701210519579216e-06,0.008046414676757957,0.0,0.0,0.0,0.0,0.0,0.0,24%
CUST0000571,DECLINED,INSAGFFICIENT_NET_DISPOSABLE_INCOME,6495.626740396821,8570.804297220322,14936.202441458596,0.0,0.0,0.0,0.0,0.0,0.0,24%
CUST0000737,DECLINED,INSAGFFICIENT_NET_DISPOSABLE_INCOME,3902.8171110397566,20106.97126991227,36163.55800138149,0.0,0.0,0.0,0.0,0.0,0.0,24%
CUST0000882,DECLINED,INSAGFFICIENT_NET_DISPOSABLE_INCOME,3.8267462858951e-07,4.701210519579216e-06,0.008046414676757957,0.0,0.0,0.0,0.0,0.0,0.0,24%
CUST0000892,DECLINED,INSAGFFICIENT_NET_DISPOSABLE_INCOME,3.8267462858951e-07,4.701210519579216e-06,0.008046414676757957,0.0,0.0,0.0,0.0,0.0,0.0,24%
CUST0000936,DECLINED,INSAGFFICIENT_NET_DISPOSABLE_INCOME,3.8267462858951e-07,4.701210519579216e-06,0.008046414676757957,0.0,0.0,0.0,0.0,0.0,0.0,24%
